url,live_status,local_status,live_title,local_title,live_canonical,local_canonical,live_h1,local_h1,live_rendering,local_rendering,live_schema,local_schema,comparison_verdict,action_needed,priority
"/blog/free-geo-tagger-fast-location-seo","200","200","IMGSEO | Free Image Optimizer, Geo Tagger & WebP Converter for SEO","Free Geo Tagger Tool: Fast Geo Tag Images for Local SEO | IMGSEO","https://imageseo.cc/","https://imageseo.cc/blog/free-geo-tagger-fast-location-seo","(none in raw HTML)","How to Use a Free Geo Tagger to Dominate Local SEO Fast","SPA Client JS Only (Raw HTML is homepage shell)","Static SSG Prerender Shell (H1 + Desc in raw HTML)","WebApplication (Static in shell)","WebApplication (Hardcoded shell)","Improved (Proper title, canonical, and H1 in raw HTML)","Expand SSG body content and enrich structured schema","P2"
"/blog/image-file-names-local-seo","200","200","IMGSEO | Free Image Optimizer, Geo Tagger & WebP Converter for SEO","Image File Naming for Local SEO: Rank Higher in Google Maps &amp; Image Search | IMGSEO","https://imageseo.cc/","https://imageseo.cc/blog/image-file-names-local-seo","(none in raw HTML)","Why Image File Names Are the #1 Ignored Local SEO Ranking Factor","SPA Client JS Only (Raw HTML is homepage shell)","Static SSG Prerender Shell (H1 + Desc in raw HTML)","WebApplication (Static in shell)","WebApplication (Hardcoded shell)","Improved (Proper title, canonical, and H1 in raw HTML)","Expand SSG body content and enrich structured schema","P2"
"/blog/google-business-profile-photo-optimization","200","200","IMGSEO | Free Image Optimizer, Geo Tagger & WebP Converter for SEO","GBP Photo Optimization Guide: Maximize Local SEO &amp; Google Maps Traffic | IMGSEO","https://imageseo.cc/","https://imageseo.cc/blog/google-business-profile-photo-optimization","(none in raw HTML)","How to Optimize Google Business Profile Photos for High Local Visibility","SPA Client JS Only (Raw HTML is homepage shell)","Static SSG Prerender Shell (H1 + Desc in raw HTML)","WebApplication (Static in shell)","WebApplication (Hardcoded shell)","Improved (Proper title, canonical, and H1 in raw HTML)","Expand SSG body content and enrich structured schema","P2"
"/blog/webp-vs-jpg-local-seo","200","200","IMGSEO | Free Image Optimizer, Geo Tagger & WebP Converter for SEO","WebP vs JPG for SEO: Speed Up Your Site &amp; Improve Core Web Vitals | IMGSEO","https://imageseo.cc/","https://imageseo.cc/blog/webp-vs-jpg-local-seo","(none in raw HTML)","WebP vs JPG for SEO: Which Image Format Ranks Better in Google?","SPA Client JS Only (Raw HTML is homepage shell)","Static SSG Prerender Shell (H1 + Desc in raw HTML)","WebApplication (Static in shell)","WebApplication (Hardcoded shell)","Improved (Proper title, canonical, and H1 in raw HTML)","Expand SSG body content and enrich structured schema","P2"
"/blog/alt-text-local-seo-formula","200","200","IMGSEO | Free Image Optimizer, Geo Tagger & WebP Converter for SEO","Image ALT Text Best Practices for Local SEO &amp; Accessibility | IMGSEO","https://imageseo.cc/","https://imageseo.cc/blog/alt-text-local-seo-formula","(none in raw HTML)","Writing Image ALT Text for SEO: The Formula That Actually Works","SPA Client JS Only (Raw HTML is homepage shell)","Static SSG Prerender Shell (H1 + Desc in raw HTML)","WebApplication (Static in shell)","WebApplication (Hardcoded shell)","Improved (Proper title, canonical, and H1 in raw HTML)","Expand SSG body content and enrich structured schema","P2"
"/blog/image-seo-checklist-local-business","200","200","IMGSEO | Free Image Optimizer, Geo Tagger & WebP Converter for SEO","Complete Image SEO Checklist: Optimize Photos for Local Search | IMGSEO","https://imageseo.cc/","https://imageseo.cc/blog/image-seo-checklist-local-business","(none in raw HTML)","The Ultimate 5-Minute Image SEO Checklist for Local Businesses","SPA Client JS Only (Raw HTML is homepage shell)","Static SSG Prerender Shell (H1 + Desc in raw HTML)","WebApplication (Static in shell)","WebApplication (Hardcoded shell)","Improved (Proper title, canonical, and H1 in raw HTML)","Expand SSG body content and enrich structured schema","P2"
"/robots.txt","200","200","N/A","N/A","N/A","N/A","N/A","N/A","Static text/plain","Static file","None","None","Unchanged / Valid","Keep","P3"
"/sitemap.xml","200","200","N/A","N/A","N/A","N/A","N/A","N/A","Static application/xml (10 URLs)","Static file","None","None","Improved (Includes new routes)","Add missing /privacy and /terms URLs to sitemap","P1"
"/404.html","404 / 200 (Shell)","404","Homepage Title (Shell)","Page Not Found | IMGSEO","https://imageseo.cc/","https://imageseo.cc/404.html","(none)","Page Not Found","SPA Shell","Static SSG Prerender Shell (H1 + Desc in raw HTML)","WebApplication","WebApplication (Hardcoded shell)","Improved (Dedicated 404 page created)","Verify web server returns true 404 HTTP status for unmatched routes","P1"
"/non-existent-probe-test","200 (Soft 404)","404","Homepage Title (Shell)","Page Not Found | IMGSEO","https://imageseo.cc/","https://imageseo.cc/404.html","(none)","Page Not Found","SPA Client JS Only (Soft 404)","Static SSG Prerender Shell (H1 + Desc in raw HTML)","WebApplication","WebApplication (Hardcoded shell)","Improved (Dedicated 404 page created)","Verify web server returns true 404 HTTP status for unmatched routes","P1"
